"Measure.ID","Score","Score_numeric"
"SEP_1",NA,NA
"SEP_1","43",43
"SEP_1","6",6
"SEP_1",NA,NA
"SEP_1","89",89
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1","73",73
"SEP_1",NA,NA
"SEP_1","64",64
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1","62",62
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1","89",89
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1","68",68
"SEP_1","62",62
"SEP_1","66",66
"SEP_1","56",56
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1","48",48
"SEP_1","35",35
"SEP_1","58",58
"SEP_1","52",52
"SEP_1","73",73
"SEP_1","43",43
"SEP_1","62",62
"SEP_1","75",75
"SEP_1","79",79
"SEP_1","52",52
"SEP_1","61",61
"SEP_1","81",81
"SEP_1","49",49
"SEP_1","57",57
"SEP_1","39",39
"SEP_1","50",50
"SEP_1","68",68
"SEP_1","76",76
"SEP_1","70",70
"SEP_1","63",63
"SEP_1","27",27
"SEP_1","61",61
"SEP_1","62",62
"SEP_1","45",45
"SEP_1","48",48
"SEP_1","42",42
"SEP_1","62",62
"SEP_1","46",46
"SEP_1","77",77
"SEP_1","51",51
"SEP_1","74",74
"SEP_1","66",66
"SEP_1","70",70
"SEP_1","45",45
"SEP_1","41",41
"SEP_1","74",74
"SEP_1","53",53
"SEP_1","79",79
"SEP_1","66",66
"SEP_1","66",66
"SEP_1","35",35
"SEP_1","49",49
"SEP_1","55",55
"SEP_1","60",60
"SEP_1","60",60
"SEP_1","52",52
"SEP_1","92",92
"SEP_1","77",77
"SEP_1",NA,NA
"SEP_1","70",70
"SEP_1","47",47
"SEP_1","43",43
"SEP_1","65",65
"SEP_1","69",69
"SEP_1",NA,NA
"SEP_1","65",65
"SEP_1","60",60
"SEP_1","75",75
"SEP_1","73",73
"SEP_1","36",36
"SEP_1","69",69
"SEP_1","41",41
"SEP_1","59",59
"SEP_1",NA,NA
"SEP_1","74",74
"SEP_1","76",76
"SEP_1","64",64
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1","71",71
"SEP_1","54",54
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1","55",55
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1","80",80
"SEP_1","79",79
"SEP_1",NA,NA
"SEP_1","79",79
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1","54",54
"SEP_1","79",79
"SEP_1","73",73
"SEP_1","75",75
"SEP_1","41",41
"SEP_1","30",30
"SEP_1","71",71
"SEP_1","58",58
"SEP_1","60",60
"SEP_1","55",55
"SEP_1","51",51
"SEP_1","86",86
"SEP_1","63",63
"SEP_1","77",77
"SEP_1","64",64
"SEP_1","79",79
"SEP_1","43",43
"SEP_1","23",23
"SEP_1","36",36
"SEP_1","74",74
"SEP_1","86",86
"SEP_1","91",91
"SEP_1","81",81
"SEP_1","39",39
"SEP_1","56",56
"SEP_1","75",75
"SEP_1","44",44
"SEP_1","66",66
"SEP_1","87",87
"SEP_1","83",83
"SEP_1","53",53
"SEP_1","71",71
"SEP_1","76",76
"SEP_1","79",79
"SEP_1","45",45
"SEP_1","77",77
"SEP_1","66",66
"SEP_1","69",69
"SEP_1","77",77
"SEP_1","79",79
"SEP_1","67",67
"SEP_1","60",60
"SEP_1","43",43
"SEP_1","75",75
"SEP_1","71",71
"SEP_1","67",67
"SEP_1","78",78
"SEP_1","72",72
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1","55",55
"SEP_1","80",80
"SEP_1","35",35
"SEP_1","62",62
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1","43",43
"SEP_1","63",63
"SEP_1","55",55
"SEP_1","41",41
"SEP_1","69",69
"SEP_1","69",69
"SEP_1","40",40
"SEP_1",NA,NA
"SEP_1","69",69
"SEP_1","34",34
"SEP_1","85",85
"SEP_1","71",71
"SEP_1","78",78
"SEP_1","74",74
"SEP_1","56",56
"SEP_1","63",63
"SEP_1",NA,NA
"SEP_1","85",85
"SEP_1","67",67
"SEP_1","38",38
"SEP_1","55",55
"SEP_1",NA,NA
"SEP_1","65",65
"SEP_1","50",50
"SEP_1","84",84
"SEP_1","55",55
"SEP_1","55",55
"SEP_1","70",70
"SEP_1","63",63
"SEP_1","81",81
"SEP_1","47",47
"SEP_1","58",58
"SEP_1","92",92
"SEP_1","22",22
"SEP_1","84",84
"SEP_1","63",63
"SEP_1","58",58
"SEP_1","78",78
"SEP_1","80",80
"SEP_1",NA,NA
"SEP_1","62",62
"SEP_1","56",56
"SEP_1","25",25
"SEP_1","88",88
"SEP_1",NA,NA
"SEP_1","79",79
"SEP_1","77",77
"SEP_1","60",60
"SEP_1","45",45
"SEP_1",NA,NA
"SEP_1","76",76
"SEP_1","76",76
"SEP_1","50",50
"SEP_1","84",84
"SEP_1","35",35
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1","49",49
"SEP_1","42",42
"SEP_1","83",83
"SEP_1","74",74
"SEP_1","88",88
"SEP_1","43",43
"SEP_1","60",60
"SEP_1","72",72
"SEP_1","73",73
"SEP_1","43",43
"SEP_1","70",70
"SEP_1","88",88
"SEP_1","63",63
"SEP_1","43",43
"SEP_1","62",62
"SEP_1","65",65
"SEP_1","78",78
"SEP_1","76",76
"SEP_1","54",54
"SEP_1","53",53
"SEP_1","56",56
"SEP_1","46",46
"SEP_1","56",56
"SEP_1","59",59
"SEP_1","55",55
"SEP_1","77",77
"SEP_1",NA,NA
"SEP_1","57",57
"SEP_1","58",58
"SEP_1","59",59
"SEP_1","47",47
"SEP_1","74",74
"SEP_1","81",81
"SEP_1","73",73
"SEP_1","74",74
"SEP_1","61",61
"SEP_1","63",63
"SEP_1","42",42
"SEP_1","47",47
"SEP_1","37",37
"SEP_1","59",59
"SEP_1","82",82
"SEP_1","86",86
"SEP_1","57",57
"SEP_1","50",50
"SEP_1","73",73
"SEP_1","35",35
"SEP_1","71",71
"SEP_1","74",74
"SEP_1","82",82
"SEP_1","78",78
"SEP_1","82",82
"SEP_1","74",74
"SEP_1","47",47
"SEP_1","73",73
"SEP_1","84",84
"SEP_1","72",72
"SEP_1","50",50
"SEP_1","70",70
"SEP_1",NA,NA
"SEP_1","68",68
"SEP_1","77",77
"SEP_1","66",66
"SEP_1","75",75
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1","74",74
"SEP_1","66",66
"SEP_1","74",74
"SEP_1",NA,NA
"SEP_1","61",61
"SEP_1","61",61
"SEP_1",NA,NA
"SEP_1","38",38
"SEP_1",NA,NA
"SEP_1","78",78
"SEP_1","79",79
"SEP_1","56",56
"SEP_1","52",52
"SEP_1",NA,NA
"SEP_1","73",73
"SEP_1","60",60
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1","62",62
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1","59",59
"SEP_1","71",71
"SEP_1","76",76
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1","47",47
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1","90",90
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1","78",78
"SEP_1",NA,NA
"SEP_1","79",79
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
"SEP_1",NA,NA
