"Measure.ID","Score","Score_numeric"
"SEP_SH_6HR","97",97
"SEP_SH_6HR","74",74
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","88",88
"SEP_SH_6HR","87",87
"SEP_SH_6HR","94",94
"SEP_SH_6HR","55",55
"SEP_SH_6HR","77",77
"SEP_SH_6HR","82",82
"SEP_SH_6HR","75",75
"SEP_SH_6HR","92",92
"SEP_SH_6HR","91",91
"SEP_SH_6HR","92",92
"SEP_SH_6HR","100",100
"SEP_SH_6HR","85",85
"SEP_SH_6HR","94",94
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","67",67
"SEP_SH_6HR","70",70
"SEP_SH_6HR","83",83
"SEP_SH_6HR","75",75
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","83",83
"SEP_SH_6HR","100",100
"SEP_SH_6HR","100",100
"SEP_SH_6HR","79",79
"SEP_SH_6HR","83",83
"SEP_SH_6HR","100",100
"SEP_SH_6HR","88",88
"SEP_SH_6HR","100",100
"SEP_SH_6HR","100",100
"SEP_SH_6HR","75",75
"SEP_SH_6HR","84",84
"SEP_SH_6HR","100",100
"SEP_SH_6HR","96",96
"SEP_SH_6HR","100",100
"SEP_SH_6HR","100",100
"SEP_SH_6HR","100",100
"SEP_SH_6HR","100",100
"SEP_SH_6HR","92",92
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","100",100
"SEP_SH_6HR","90",90
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","85",85
"SEP_SH_6HR","86",86
"SEP_SH_6HR","85",85
"SEP_SH_6HR","97",97
"SEP_SH_6HR","98",98
"SEP_SH_6HR","72",72
"SEP_SH_6HR","100",100
"SEP_SH_6HR","67",67
"SEP_SH_6HR","93",93
"SEP_SH_6HR","83",83
"SEP_SH_6HR","86",86
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","88",88
"SEP_SH_6HR","86",86
"SEP_SH_6HR","83",83
"SEP_SH_6HR","94",94
"SEP_SH_6HR","50",50
"SEP_SH_6HR","96",96
"SEP_SH_6HR","95",95
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","89",89
"SEP_SH_6HR","97",97
"SEP_SH_6HR","100",100
"SEP_SH_6HR","95",95
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","67",67
"SEP_SH_6HR","82",82
"SEP_SH_6HR","76",76
"SEP_SH_6HR","85",85
"SEP_SH_6HR","25",25
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","100",100
"SEP_SH_6HR","96",96
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","77",77
"SEP_SH_6HR","96",96
"SEP_SH_6HR","95",95
"SEP_SH_6HR","69",69
"SEP_SH_6HR","100",100
"SEP_SH_6HR","76",76
"SEP_SH_6HR","48",48
"SEP_SH_6HR","88",88
"SEP_SH_6HR","71",71
"SEP_SH_6HR","99",99
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","89",89
"SEP_SH_6HR","100",100
"SEP_SH_6HR","74",74
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","92",92
"SEP_SH_6HR","48",48
"SEP_SH_6HR","81",81
"SEP_SH_6HR","93",93
"SEP_SH_6HR","94",94
"SEP_SH_6HR","83",83
"SEP_SH_6HR","85",85
"SEP_SH_6HR","79",79
"SEP_SH_6HR","85",85
"SEP_SH_6HR","86",86
"SEP_SH_6HR","95",95
"SEP_SH_6HR","93",93
"SEP_SH_6HR","95",95
"SEP_SH_6HR","69",69
"SEP_SH_6HR","85",85
"SEP_SH_6HR","91",91
"SEP_SH_6HR","80",80
"SEP_SH_6HR","62",62
"SEP_SH_6HR","82",82
"SEP_SH_6HR","100",100
"SEP_SH_6HR","80",80
"SEP_SH_6HR","92",92
"SEP_SH_6HR","76",76
"SEP_SH_6HR","97",97
"SEP_SH_6HR","100",100
"SEP_SH_6HR","86",86
"SEP_SH_6HR","99",99
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","100",100
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","86",86
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","85",85
"SEP_SH_6HR","87",87
"SEP_SH_6HR","83",83
"SEP_SH_6HR","59",59
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","89",89
"SEP_SH_6HR","92",92
"SEP_SH_6HR","96",96
"SEP_SH_6HR","97",97
"SEP_SH_6HR","86",86
"SEP_SH_6HR","89",89
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","87",87
"SEP_SH_6HR","90",90
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","94",94
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","95",95
"SEP_SH_6HR","97",97
"SEP_SH_6HR","98",98
"SEP_SH_6HR","83",83
"SEP_SH_6HR","91",91
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","94",94
"SEP_SH_6HR","91",91
"SEP_SH_6HR","59",59
"SEP_SH_6HR","36",36
"SEP_SH_6HR","100",100
"SEP_SH_6HR","90",90
"SEP_SH_6HR","99",99
"SEP_SH_6HR","78",78
"SEP_SH_6HR","70",70
"SEP_SH_6HR","91",91
"SEP_SH_6HR","100",100
"SEP_SH_6HR","100",100
"SEP_SH_6HR","78",78
"SEP_SH_6HR","72",72
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","92",92
"SEP_SH_6HR","100",100
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","86",86
"SEP_SH_6HR","100",100
"SEP_SH_6HR","95",95
"SEP_SH_6HR","40",40
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","89",89
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","92",92
"SEP_SH_6HR","71",71
"SEP_SH_6HR","77",77
"SEP_SH_6HR","86",86
"SEP_SH_6HR","86",86
"SEP_SH_6HR","78",78
"SEP_SH_6HR","91",91
"SEP_SH_6HR","100",100
"SEP_SH_6HR","83",83
"SEP_SH_6HR","100",100
"SEP_SH_6HR","100",100
"SEP_SH_6HR","95",95
"SEP_SH_6HR","82",82
"SEP_SH_6HR","79",79
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","86",86
"SEP_SH_6HR","87",87
"SEP_SH_6HR","66",66
"SEP_SH_6HR","97",97
"SEP_SH_6HR","95",95
"SEP_SH_6HR","87",87
"SEP_SH_6HR","78",78
"SEP_SH_6HR","91",91
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","82",82
"SEP_SH_6HR","73",73
"SEP_SH_6HR","85",85
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","92",92
"SEP_SH_6HR","82",82
"SEP_SH_6HR","92",92
"SEP_SH_6HR","97",97
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","96",96
"SEP_SH_6HR","97",97
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","100",100
"SEP_SH_6HR","89",89
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","89",89
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","97",97
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","95",95
"SEP_SH_6HR","88",88
"SEP_SH_6HR","100",100
"SEP_SH_6HR","98",98
"SEP_SH_6HR","54",54
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","72",72
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","95",95
"SEP_SH_6HR","100",100
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","89",89
"SEP_SH_6HR","89",89
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","92",92
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","86",86
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","85",85
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","100",100
"SEP_SH_6HR","93",93
"SEP_SH_6HR","94",94
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","94",94
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","90",90
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","100",100
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","54",54
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","52",52
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","73",73
"SEP_SH_6HR","100",100
"SEP_SH_6HR","92",92
"SEP_SH_6HR","100",100
"SEP_SH_6HR","74",74
"SEP_SH_6HR","96",96
"SEP_SH_6HR","96",96
"SEP_SH_6HR","90",90
"SEP_SH_6HR","92",92
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","87",87
"SEP_SH_6HR","95",95
"SEP_SH_6HR","90",90
"SEP_SH_6HR","97",97
"SEP_SH_6HR","82",82
"SEP_SH_6HR","97",97
"SEP_SH_6HR","87",87
"SEP_SH_6HR","89",89
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","93",93
"SEP_SH_6HR","89",89
"SEP_SH_6HR","82",82
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","49",49
"SEP_SH_6HR","90",90
"SEP_SH_6HR","82",82
"SEP_SH_6HR","65",65
"SEP_SH_6HR","74",74
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","100",100
"SEP_SH_6HR","92",92
"SEP_SH_6HR","84",84
"SEP_SH_6HR","97",97
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","97",97
"SEP_SH_6HR","94",94
"SEP_SH_6HR","91",91
"SEP_SH_6HR","87",87
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","92",92
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","93",93
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","81",81
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","97",97
"SEP_SH_6HR","96",96
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","45",45
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","86",86
"SEP_SH_6HR","83",83
"SEP_SH_6HR","73",73
"SEP_SH_6HR","83",83
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","60",60
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","97",97
"SEP_SH_6HR","85",85
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","91",91
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","71",71
"SEP_SH_6HR","100",100
"SEP_SH_6HR","85",85
"SEP_SH_6HR","96",96
"SEP_SH_6HR","80",80
"SEP_SH_6HR","67",67
"SEP_SH_6HR","86",86
"SEP_SH_6HR","71",71
"SEP_SH_6HR","56",56
"SEP_SH_6HR","76",76
"SEP_SH_6HR","95",95
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","73",73
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","80",80
"SEP_SH_6HR","67",67
"SEP_SH_6HR","94",94
"SEP_SH_6HR","76",76
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","62",62
"SEP_SH_6HR","100",100
"SEP_SH_6HR","100",100
"SEP_SH_6HR","98",98
"SEP_SH_6HR","73",73
"SEP_SH_6HR","79",79
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","90",90
"SEP_SH_6HR","100",100
"SEP_SH_6HR","84",84
"SEP_SH_6HR","81",81
"SEP_SH_6HR","100",100
"SEP_SH_6HR","76",76
"SEP_SH_6HR","98",98
"SEP_SH_6HR","83",83
"SEP_SH_6HR","87",87
"SEP_SH_6HR","96",96
"SEP_SH_6HR","92",92
"SEP_SH_6HR","87",87
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","73",73
"SEP_SH_6HR","79",79
"SEP_SH_6HR","84",84
"SEP_SH_6HR","82",82
"SEP_SH_6HR","93",93
"SEP_SH_6HR","100",100
"SEP_SH_6HR","89",89
"SEP_SH_6HR","98",98
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","98",98
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","94",94
"SEP_SH_6HR","82",82
"SEP_SH_6HR","81",81
"SEP_SH_6HR","95",95
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","82",82
"SEP_SH_6HR","100",100
"SEP_SH_6HR","86",86
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","88",88
"SEP_SH_6HR","91",91
"SEP_SH_6HR","77",77
"SEP_SH_6HR","94",94
"SEP_SH_6HR","95",95
"SEP_SH_6HR","97",97
"SEP_SH_6HR","81",81
"SEP_SH_6HR","61",61
"SEP_SH_6HR","92",92
"SEP_SH_6HR","81",81
"SEP_SH_6HR","93",93
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","93",93
"SEP_SH_6HR","97",97
"SEP_SH_6HR","94",94
"SEP_SH_6HR","94",94
"SEP_SH_6HR","77",77
"SEP_SH_6HR","73",73
"SEP_SH_6HR","93",93
"SEP_SH_6HR","94",94
"SEP_SH_6HR","79",79
"SEP_SH_6HR","86",86
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","82",82
"SEP_SH_6HR","97",97
"SEP_SH_6HR","100",100
"SEP_SH_6HR","92",92
"SEP_SH_6HR","93",93
"SEP_SH_6HR","89",89
"SEP_SH_6HR","93",93
"SEP_SH_6HR","88",88
"SEP_SH_6HR","97",97
"SEP_SH_6HR","96",96
"SEP_SH_6HR","96",96
"SEP_SH_6HR","71",71
"SEP_SH_6HR","94",94
"SEP_SH_6HR","89",89
"SEP_SH_6HR","94",94
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","79",79
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR",NA,NA
"SEP_SH_6HR","73",73
"SEP_SH_6HR","83",83
"SEP_SH_6HR","76",76
"SEP_SH_6HR","91",91
"SEP_SH_6HR","94",94
"SEP_SH_6HR","85",85
"SEP_SH_6HR","88",88
"SEP_SH_6HR","75",75
"SEP_SH_6HR","100",100
"SEP_SH_6HR","92",92
"SEP_SH_6HR","91",91
"SEP_SH_6HR","71",71
"SEP_SH_6HR","95",95
"SEP_SH_6HR","95",95
"SEP_SH_6HR","100",100
"SEP_SH_6HR","91",91
"SEP_SH_6HR","87",87
"SEP_SH_6HR","95",95
"SEP_SH_6HR","82",82
"SEP_SH_6HR","100",100
"SEP_SH_6HR","100",100
"SEP_SH_6HR","96",96
"SEP_SH_6HR","92",92
"SEP_SH_6HR","94",94
"SEP_SH_6HR","92",92
"SEP_SH_6HR","95",95
"SEP_SH_6HR","87",87
"SEP_SH_6HR","85",85
"SEP_SH_6HR","96",96
"SEP_SH_6HR","86",86
"SEP_SH_6HR",NA,NA
